id,ra,dec,maj_ax,min_ax
NGC354,01:03:16.39,+22:20:33.6,0.9,0.4
NGC355,01:03:06.98,-06:19:26.4,0.73,0.33
NGC356,01:03:07.10,-06:59:18.1,1.75,0.94
NGC357,01:03:21.88,-06:20:21.2,2.11,1.69
NGC358,01:05:10.93,+62:01:13.6,,
NGC359,01:04:16.96,-00:45:53.7,1.28,0.85
NGC360,01:02:51.45,-65:36:35.9,3.99,0.57
NGC361,01:02:10.16,-71:36:17.1,2.6,2.6
NGC362,01:03:14.23,-70:50:53.6,8.7,
NGC363,01:06:15.79,-16:32:33.9,0.82,0.6
NGC364,01:04:40.83,-00:48:09.9,1.4,0.57
NGC365,01:04:18.72,-35:07:17.1,1.01,0.6
NGC366,01:06:25.99,+62:13:44.1,5.1,
NGC367,01:05:48.89,-12:07:42.5,0.96,0.35
NGC368,01:04:22.04,-43:16:36.3,0.72,0.62
NGC369,01:05:08.91,-17:45:33.1,0.95,0.77
NGC370,01:06:44.59,+32:25:43.3,,
NGC371,01:03:29.53,-72:03:24.6,4.2,3.8
NGC372,01:06:44.59,+32:25:43.3,,
NGC373,01:06:58.21,+32:18:30.5,0.52,0.45
NGC374,01:07:05.78,+32:47:42.4,1.3,0.58
NGC375,01:07:05.92,+32:20:53.4,0.48,0.38
NGC376,01:03:53.45,-72:49:25.2,1.8,1.8
NGC377,01:06:34.82,-20:19:57.2,0.98,0.27
NGC378,01:06:12.21,-30:10:41.3,1.52,1.11
NGC379,01:07:15.69,+32:31:13.3,1.41,0.68
NGC380,01:07:17.59,+32:28:58.5,1.45,1.35
NGC381,01:08:18.01,+61:34:59.8,6.0,
NGC382,01:07:23.87,+32:24:13.9,0.24,0.23
NGC383,01:07:24.96,+32:24:45.2,2.39,2.0
NGC384,01:07:25.10,+32:17:32.8,1.1,0.78
NGC385,01:07:27.25,+32:19:10.3,1.21,0.91
NGC386,01:07:31.29,+32:21:43.2,0.46,0.37
NGC387,01:07:33.06,+32:23:28.0,0.42,0.36
NGC388,01:07:47.15,+32:18:35.9,0.58,0.38
