id,ra,dec,maj_ax,min_ax
NGC446,01:16:03.61,+04:17:38.8,2.06,1.6
NGC447,01:15:37.63,+33:04:03.8,2.21,2.15
NGC448,01:15:16.52,-01:37:34.3,1.6,0.76
NGC449,01:16:07.25,+33:05:22.4,0.68,0.39
NGC450,01:15:30.44,-00:51:39.5,2.94,1.95
NGC451,01:16:12.40,+33:03:50.8,0.69,0.53
NGC452,01:16:14.83,+31:02:01.8,1.99,0.5
NGC453,01:16:17.42,+33:00:51.0,,
NGC454,01:14:22.53,-55:23:55.3,2.0,
NGC0454 NED01,01:14:21.81,-55:24:05.1,1.64,1.64
NGC0454 NED02,01:14:24.93,-55:23:49.5,1.93,0.81
NGC455,01:15:57.64,+05:10:43.3,2.58,1.49
NGC456,01:13:44.38,-73:17:25.9,3.8,2.9
NGC457,01:19:32.65,+58:17:26.5,7.8,
NGC458,01:14:53.47,-71:33:09.7,2.6,2.3
NGC459,01:18:08.19,+17:33:44.6,0.58,0.55
NGC460,01:14:38.60,-73:16:27.1,2.6,1.5
NGC461,01:17:20.64,-33:50:27.2,1.21,1.01
NGC462,01:18:10.99,+04:13:33.6,0.48,0.45
NGC463,01:18:58.25,+16:19:32.7,1.04,0.39
NGC464,01:19:26.68,+34:57:19.5,,
NGC465,01:15:41.35,-73:20:04.6,5.0,4.0
NGC466,01:17:13.26,-58:54:35.8,1.61,1.34
NGC467,01:19:10.13,+03:18:03.0,1.66,1.49
NGC468,01:19:48.50,+32:46:04.0,0.85,0.48
NGC469,01:19:32.95,+14:52:19.0,0.81,0.6
NGC470,01:19:44.85,+03:24:35.8,2.86,1.62
NGC471,01:19:59.59,+14:47:10.4,1.06,0.79
NGC472,01:20:28.69,+32:42:32.5,0.9,0.68
NGC473,01:19:55.07,+16:32:40.9,1.77,1.02
NGC474,01:20:06.69,+03:24:55.4,2.65,2.44
NGC475,01:20:02.00,+14:51:39.8,0.81,0.55
NGC476,01:20:19.90,+16:01:12.5,0.84,0.55
NGC477,01:21:20.37,+40:29:17.5,1.55,0.55
NGC478,01:20:09.29,-22:22:38.6,0.84,0.69
NGC479,01:21:15.73,+03:51:44.2,0.91,0.73
NGC480,01:20:34.39,-09:52:48.8,0.58,0.29
NGC481,01:21:12.51,-09:12:40.4,1.46,1.08
NGC482,01:20:20.42,-40:57:58.0,2.06,0.53
NGC483,01:21:56.30,+33:31:15.5,0.87,0.79
NGC484,01:19:34.73,-58:31:27.5,1.8,1.26
NGC485,01:21:27.60,+07:01:05.1,1.64,0.61
NGC486,01:21:43.04,+05:20:46.7,0.36,0.28
NGC487,01:21:55.09,-16:22:13.3,1.09,0.7
NGC488,01:21:46.85,+05:15:24.2,5.05,3.66
NGC489,01:21:53.90,+09:12:23.6,1.55,0.35
NGC490,01:22:02.87,+05:22:01.9,0.66,0.55
NGC491,01:21:20.43,-34:03:47.8,1.35,0.99
NGC0491A,01:20:04.67,-33:53:58.2,1.88,0.85
NGC492,01:22:13.56,+05:25:01.4,0.67,0.56
NGC493,01:22:08.99,+00:56:43.3,3.01,0.95
NGC494,01:22:55.40,+33:10:26.0,1.86,0.59
NGC495,01:22:56.00,+33:28:18.0,1.09,0.77
NGC496,01:23:11.60,+33:31:45.0,0.89,0.33
NGC497,01:22:23.78,-00:52:30.7,2.06,0.86
NGC498,01:23:11.28,+33:29:21.7,0.51,0.41
NGC499,01:23:11.50,+33:27:38.0,1.68,1.05
NGC500,01:22:39.37,+05:23:14.2,0.91,0.65
NGC501,01:23:22.41,+33:25:58.7,0.52,0.49
NGC502,01:22:55.54,+09:02:57.1,1.64,1.52
NGC503,01:23:28.43,+33:19:54.2,0.63,0.49
NGC504,01:23:27.90,+33:12:16.0,1.55,0.39
NGC505,01:22:57.10,+09:28:08.0,1.07,0.68
NGC506,01:23:35.35,+33:14:40.8,,
NGC507,01:23:39.91,+33:15:21.8,2.45,1.66
NGC508,01:23:40.60,+33:16:49.0,1.08,0.96
NGC509,01:23:24.09,+09:26:00.8,1.59,0.68
NGC510,01:23:55.56,+33:29:48.8,,
NGC511,01:23:30.73,+11:17:27.6,1.18,0.98
NGC512,01:23:59.80,+33:54:28.0,1.46,0.34
NGC513,01:24:26.85,+33:47:58.0,0.62,0.31
NGC514,01:24:03.90,+12:55:02.6,3.5,2.5
NGC515,01:24:38.60,+33:28:22.0,0.92,0.64
NGC516,01:24:08.07,+09:33:06.1,1.62,0.46
NGC517,01:24:43.80,+33:25:46.0,1.46,0.6
NGC518,01:24:17.64,+09:19:51.4,1.56,0.55
NGC519,01:24:28.64,-01:38:28.5,0.53,0.29
NGC520,01:24:35.07,+03:47:32.7,4.2,
NGC0520 NED01,01:24:34.48,+03:47:41.8,4.09,1.61
NGC0520 NED02,01:24:34.79,+03:47:23.2,1.56,0.59
NGC521,01:24:33.78,+01:43:53.0,2.77,2.59
NGC522,01:24:45.85,+09:59:40.7,2.38,0.31
NGC523,01:25:20.73,+34:01:29.8,2.52,0.71
NGC524,01:24:47.72,+09:32:19.8,3.37,3.35
NGC525,01:24:52.91,+09:42:12.0,1.5,0.63
NGC526,01:23:58.50,-35:07:21.0,2.0,
NGC0526A,01:23:54.39,-35:03:55.9,1.7,0.79
NGC0526B,01:23:57.08,-35:04:09.4,0.79,0.45
NGC527,01:23:58.12,-35:06:54.2,1.79,0.43
NGC0527B,01:23:59.34,-35:07:38.5,0.87,0.27
NGC528,01:25:33.60,+33:40:18.0,1.77,1.04
NGC529,01:25:40.40,+34:42:48.0,2.22,1.96
NGC530,01:24:41.65,-01:35:13.5,1.78,0.36
NGC531,01:26:18.90,+34:45:14.0,1.77,0.47
NGC532,01:25:17.34,+09:15:50.8,2.18,0.94
NGC533,01:25:31.36,+01:45:32.8,3.44,2.41
NGC534,01:24:44.63,-38:07:44.7,1.19,1.07
NGC535,01:25:31.15,-01:24:29.3,0.97,0.34
NGC536,01:26:21.78,+34:42:10.9,2.92,1.49
NGC537,01:25:20.73,+34:01:29.8,,
NGC538,01:25:26.05,-01:33:02.3,1.38,0.54
NGC539,01:25:21.73,-18:09:49.9,1.32,1.1
NGC540,01:27:08.90,-20:02:11.9,0.82,0.39
NGC541,01:25:44.31,-01:22:46.5,2.16,1.5
NGC542,01:26:30.90,+34:40:31.0,1.02,0.23
NGC543,01:25:49.99,-01:17:34.1,0.81,0.37
NGC544,01:25:12.03,-38:05:40.3,1.47,1.03
NGC545,01:25:59.12,-01:20:24.8,3.01,1.95
NGC546,01:25:12.81,-38:04:08.7,1.35,0.6
NGC547,01:26:00.63,-01:20:42.6,3.07,1.93
NGC548,01:26:02.51,-01:13:32.2,0.9,0.74
NGC549,01:25:07.08,-38:00:27.9,0.59,0.55
NGC550,01:26:42.55,+02:01:20.5,1.82,0.69
NGC551,01:27:40.66,+37:10:58.5,1.49,0.59
NGC552,01:26:10.15,+33:24:21.1,,
NGC553,01:26:12.60,+33:24:18.0,0.91,0.3
NGC554,01:27:09.60,-22:43:30.0,1.42,
NGC0554A,01:27:09.70,-22:43:28.8,1.42,1.04
NGC0554B,01:27:09.56,-22:43:32.6,0.2,0.2
NGC555,01:27:11.81,-22:45:43.8,0.74,0.69
NGC556,01:27:12.61,-22:41:51.9,0.45,0.4
NGC557,01:26:25.15,-01:38:19.4,1.45,0.47
NGC558,01:27:16.17,-01:58:15.2,0.62,0.26
NGC559,01:29:33.17,+63:18:05.2,9.0,
NGC560,01:27:25.42,-01:54:46.7,2.09,0.44
NGC561,01:28:18.76,+34:18:31.1,1.4,1.28
NGC562,01:28:29.26,+48:23:13.5,0.91,0.86
NGC563,01:25:21.73,-18:09:49.9,,
NGC564,01:27:48.21,-01:52:46.3,1.72,1.2
NGC565,01:28:10.18,-01:18:21.7,1.46,0.41
NGC566,01:29:02.96,+32:19:56.1,1.21,0.32
NGC567,01:27:02.40,-10:15:54.9,1.21,0.45
NGC568,01:27:57.01,-35:43:03.7,2.04,1.24
NGC569,01:29:07.16,+11:07:53.3,0.99,0.48
NGC570,01:28:58.64,-00:56:56.4,1.62,1.09
NGC571,01:29:55.98,+32:30:04.8,0.71,0.66
NGC572,01:28:36.42,-39:18:26.3,0.89,0.84
NGC573,01:30:49.35,+41:15:26.3,0.39,0.33
NGC574,01:29:03.08,-35:35:56.1,1.15,0.83
NGC575,01:30:46.64,+21:26:25.5,1.45,1.35
NGC576,01:28:57.67,-51:35:55.2,0.99,0.81
NGC577,01:30:40.71,-01:59:39.7,1.45,1.28
NGC578,01:30:29.09,-22:40:02.5,4.82,2.92
NGC579,01:31:46.49,+33:36:56.0,1.08,0.85
NGC580,01:30:40.71,-01:59:39.7,,
NGC581,01:33:21.81,+60:39:28.8,4.5,
NGC582,01:31:58.05,+33:28:35.5,2.07,0.49
NGC583,01:29:44.15,-18:20:21.9,0.72,0.66
NGC584,01:31:20.75,-06:52:05.0,3.78,2.51
NGC585,01:31:42.14,-00:55:59.9,2.4,0.48
NGC586,01:31:36.85,-06:53:37.5,1.61,0.78
NGC587,01:32:33.33,+35:21:30.9,2.23,0.66
NGC588,01:32:45.94,+30:38:51.1,0.6,0.43
NGC589,01:32:39.94,-12:02:33.7,0.76,0.65
NGC590,01:33:40.92,+44:55:43.3,2.13,0.77
NGC591,01:33:31.27,+35:40:05.7,1.43,1.14
NGC592,01:33:11.69,+30:38:41.8,,
NGC593,01:32:20.76,-12:21:16.0,0.88,0.27
NGC594,01:32:56.91,-16:32:09.6,1.24,0.65
NGC595,01:33:33.83,+30:41:29.6,1.73,0.9
NGC596,01:32:52.08,-07:01:54.6,2.14,1.58
NGC597,01:32:14.85,-33:29:49.5,1.31,1.21
NGC598,01:33:50.89,+30:39:36.8,62.09,36.73
NGC599,01:32:53.78,-12:11:28.5,1.53,1.16
NGC600,01:33:05.30,-07:18:41.1,2.63,2.56
NGC601,01:33:06.58,-12:12:31.5,0.4,0.38
NGC602,01:29:26.36,-73:33:37.8,3.2,2.9
NGC603,01:34:43.90,+30:13:55.1,,
NGC604,01:34:33.19,+30:47:05.6,1.93,1.2
NGC605,01:35:02.35,+41:14:53.3,1.32,0.56
NGC606,01:34:50.16,+21:25:06.4,1.01,0.77
NGC607,01:34:16.37,-07:24:46.1,,
NGC608,01:35:28.24,+33:39:24.2,0.83,0.55
NGC609,01:36:23.74,+64:32:11.7,4.8,
NGC610,01:34:18.00,-20:08:39.2,,
NGC611,01:34:18.01,-20:07:39.2,,
NGC612,01:33:57.74,-36:29:35.7,1.49,1.34
NGC613,01:34:18.17,-29:25:06.1,5.48,4.51
NGC614,01:35:52.26,+33:40:54.8,1.52,1.44
NGC615,01:35:05.68,-07:20:25.1,3.18,1.16
NGC616,01:36:04.20,+33:46:12.8,,
NGC617,01:34:02.54,-09:46:26.9,0.59,0.52
NGC618,01:35:52.26,+33:40:54.8,,
NGC619,01:34:51.79,-36:29:21.8,1.66,1.03
NGC620,01:36:59.68,+42:19:24.0,0.82,0.77
NGC621,01:36:49.06,+35:30:43.9,1.12,1.06
NGC622,01:36:00.16,+00:39:48.7,1.3,0.83
NGC623,01:35:06.39,-36:29:24.8,1.94,1.46
NGC624,01:35:51.09,-10:00:10.7,1.3,0.67
NGC625,01:35:04.63,-41:26:10.3,6.55,2.05
NGC626,01:35:12.08,-39:08:45.8,1.44,1.3
NGC627,01:35:52.26,+33:40:54.8,,
NGC628,01:36:41.75,+15:47:01.2,9.89,9.33
NGC629,01:38:58.54,+72:52:01.5,,
NGC630,01:35:36.48,-39:21:28.2,1.9,1.4
NGC631,01:36:47.06,+05:50:07.3,0.93,0.83
NGC632,01:37:17.53,+05:52:39.5,0.99,0.86
NGC633,01:36:23.40,-37:19:17.6,1.1,0.95
NGC634,01:38:18.66,+35:21:53.4,1.77,0.61
NGC635,01:38:17.86,-22:55:44.1,0.6,0.53
NGC636,01:39:06.53,-07:30:45.4,2.7,2.3
NGC637,01:43:03.11,+64:02:11.6,4.5,
NGC638,01:39:37.85,+07:14:14.4,0.94,0.62
NGC639,01:38:59.05,-29:55:31.2,1.04,0.3
NGC640,01:39:24.88,-09:24:04.2,0.76,0.43
NGC641,01:38:39.23,-42:31:39.1,1.82,1.68
NGC642,01:39:06.33,-29:54:53.6,1.8,1.09
NGC643,01:35:01.43,-75:33:24.7,2.2,2.2
NGC0643A,01:30:38.49,-76:03:16.2,,
NGC0643B,01:39:12.73,-75:00:40.0,1.75,0.47
NGC0643C,01:41:49.13,-75:16:05.2,1.4,0.23
NGC644,01:38:52.96,-42:35:07.0,1.3,0.68
NGC645,01:40:08.70,+05:43:36.1,2.29,0.68
NGC646,01:37:25.50,-64:53:47.0,1.51,1.02
NGC0646 NED01,01:37:21.12,-64:53:41.5,1.23,0.97
NGC0646 NED02,01:37:29.89,-64:53:46.6,0.6,0.45
NGC647,01:39:56.19,-09:14:32.6,1.27,0.98
NGC648,01:38:39.79,-17:49:52.3,1.09,0.63
NGC649,01:40:07.45,-09:16:19.6,1.07,0.39
NGC650,01:42:19.69,+51:34:31.7,1.12,
NGC651,01:42:19.69,+51:34:31.7,,
NGC652,01:40:43.28,+07:58:58.5,0.94,0.51
NGC653,01:42:25.74,+35:38:18.0,1.49,0.23
NGC654,01:43:59.43,+61:52:57.8,6.3,
NGC655,01:41:55.13,-13:04:54.3,1.12,0.65
NGC656,01:42:27.24,+26:08:35.0,1.27,1.08
NGC657,01:43:20.80,+55:50:11.0,3.0,
NGC658,01:42:09.66,+12:36:06.8,1.48,0.89
NGC659,01:44:22.99,+60:40:09.0,4.2,
NGC660,01:43:02.40,+13:38:42.2,4.57,1.69
NGC661,01:44:14.62,+28:42:21.3,1.91,1.4
NGC662,01:44:35.45,+37:41:44.8,0.81,0.55
NGC663,01:46:16.05,+61:13:05.5,6.0,
NGC664,01:43:45.81,+04:13:22.4,1.19,0.93
NGC665,01:44:56.10,+10:25:22.9,1.62,0.95
NGC666,01:46:06.20,+34:22:28.3,0.77,0.52
NGC667,01:44:56.68,-22:55:08.2,0.71,0.57
NGC668,01:46:22.67,+36:27:37.1,1.2,0.82
NGC669,01:47:16.15,+35:33:47.9,2.34,0.57
NGC670,01:47:24.85,+27:53:08.7,2.18,0.74
NGC671,01:46:59.17,+13:07:30.4,1.08,0.43
NGC672,01:47:54.52,+27:25:58.0,7.01,2.71
NGC673,01:48:22.44,+11:31:16.7,1.77,1.3
NGC674,01:51:17.57,+22:21:28.7,3.81,1.26
NGC675,01:49:08.61,+13:03:35.6,1.04,0.44
NGC676,01:48:57.31,+05:54:27.1,2.75,0.69
NGC677,01:49:14.06,+13:03:19.3,1.81,1.81
NGC678,01:49:24.86,+21:59:50.3,3.08,0.77
NGC679,01:49:43.78,+35:47:08.3,1.32,1.0
NGC680,01:49:47.29,+21:58:15.1,1.69,1.56
NGC681,01:49:10.83,-10:25:35.1,2.47,1.77
NGC682,01:49:04.60,-14:58:29.4,0.74,0.25
NGC683,01:49:46.69,+11:42:04.7,0.66,0.6
NGC684,01:50:14.02,+27:38:44.4,2.95,0.82
NGC685,01:47:42.81,-52:45:42.5,3.01,2.3
NGC686,01:48:56.14,-23:47:53.3,1.34,1.06
NGC687,01:50:33.24,+36:22:14.9,1.27,1.16
NGC688,01:50:44.18,+35:17:04.3,0.89,0.38
NGC689,01:49:51.77,-27:27:59.8,1.07,0.66
NGC690,01:47:48.08,-16:43:19.2,1.1,0.7
NGC691,01:50:41.72,+21:45:35.7,2.68,1.85
NGC692,01:48:41.99,-48:38:54.6,1.95,1.41
NGC693,01:50:30.85,+06:08:42.8,2.11,1.09
NGC694,01:50:58.49,+21:59:51.0,0.57,0.34
NGC695,01:51:14.24,+22:34:56.5,0.48,0.42
NGC696,01:49:31.26,-34:54:18.6,1.8,0.72
NGC697,01:51:17.57,+22:21:28.7,,
NGC698,01:49:43.70,-34:49:51.9,0.93,0.79
NGC699,01:50:43.68,-12:02:08.4,1.4,0.37
NGC700,01:52:16.84,+36:02:12.2,0.48,0.4
NGC701,01:51:03.84,-09:42:09.4,2.24,1.11
NGC702,01:51:18.80,-04:03:07.0,1.6,
NGC0702 NED01,01:51:18.39,-04:02:57.0,0.38,0.17
NGC0702 NED02,01:51:19.19,-04:03:21.4,1.03,0.72
NGC703,01:52:39.60,+36:10:17.1,0.99,0.69
NGC704,01:52:38.60,+36:07:27.0,1.5,
NGC0704A,01:52:39.98,+36:07:15.4,0.55,0.39
NGC0704B,01:52:37.70,+36:07:36.5,1.1,0.69
NGC705,01:52:41.52,+36:08:38.4,1.44,0.69
NGC706,01:51:50.53,+06:17:48.8,1.29,1.06
NGC707,01:51:27.10,-08:30:19.3,1.31,0.73
NGC708,01:52:46.48,+36:09:06.6,2.56,1.23
NGC709,01:52:50.62,+36:13:24.4,0.72,0.36
NGC710,01:52:53.94,+36:03:10.4,1.04,0.67
NGC711,01:52:27.76,+17:30:45.6,1.1,0.48
NGC712,01:53:08.44,+36:49:11.5,1.08,0.71
NGC713,01:55:21.53,-09:05:01.5,1.15,0.28
NGC714,01:53:29.65,+36:13:16.7,1.46,0.35
NGC715,01:53:12.52,-12:52:22.2,0.88,0.36
NGC716,01:52:59.68,+12:42:30.5,1.31,0.52
NGC717,01:53:55.11,+36:13:45.9,1.31,0.23
NGC718,01:53:13.30,+04:11:45.0,2.75,2.46
NGC719,01:53:38.84,+19:50:25.5,1.01,0.71
NGC720,01:53:00.50,-13:44:19.2,4.49,2.37
NGC721,01:54:45.46,+39:23:00.7,1.4,0.83
NGC722,01:54:46.95,+20:41:53.6,1.13,0.47
NGC723,01:53:45.68,-23:45:27.9,1.34,1.04
NGC724,01:53:45.68,-23:45:27.9,,
NGC725,01:52:35.49,-16:31:04.1,0.89,0.55
NGC726,01:55:31.87,-10:47:59.3,1.08,0.44
NGC727,01:53:49.38,-35:51:22.2,1.18,0.62
NGC728,01:55:01.44,+04:13:21.3,,
NGC729,01:53:49.38,-35:51:22.2,,
NGC730,01:55:18.00,+05:38:11.0,,
NGC731,01:54:56.21,-09:00:38.9,1.7,1.5
NGC732,01:56:27.71,+36:48:08.0,0.98,0.57
NGC733,01:56:33.89,+33:03:19.1,,
NGC734,01:53:28.74,-16:59:44.5,0.75,0.4
NGC735,01:56:37.98,+34:10:36.4,1.6,0.41
NGC736,01:56:40.87,+33:02:36.6,1.83,1.64
NGC737,01:56:40.80,+33:02:56.1,,
NGC738,01:56:45.69,+33:03:30.0,0.35,0.31
NGC739,01:56:54.69,+33:16:00.1,0.81,0.52
NGC740,01:56:54.87,+33:00:54.6,1.57,0.34
NGC741,01:56:21.03,+05:37:44.2,2.83,2.33
NGC742,01:56:24.17,+05:37:36.1,0.19,0.19
NGC743,01:58:31.29,+60:09:58.7,5.4,
NGC744,01:58:29.92,+55:28:28.6,11.7,
NGC745,01:54:08.66,-56:41:26.7,1.8,
NGC0745 NED01,01:54:07.72,-56:41:37.2,1.75,1.11
NGC0745 NED02,01:54:07.61,-56:41:14.5,0.11,0.11
NGC0745 NED03,01:54:11.33,-56:41:07.7,1.13,0.41
NGC746,01:57:51.01,+44:55:06.9,1.82,1.29
NGC747,01:57:30.45,-09:27:44.5,1.15,0.59
NGC748,01:56:21.80,-04:28:03.5,2.56,1.02
NGC749,01:55:41.12,-29:55:20.4,2.07,1.27
NGC750,01:57:32.73,+33:12:33.4,1.48,1.41
NGC751,01:57:32.99,+33:12:11.1,1.64,1.3
NGC752,01:57:34.82,+37:50:00.2,39.0,
NGC753,01:57:42.20,+35:54:58.0,1.38,0.87
NGC754,01:54:20.84,-56:45:39.8,0.61,0.57
NGC755,01:56:22.68,-09:03:41.1,2.87,0.9
NGC756,01:54:29.05,-16:42:25.8,0.67,0.48
NGC757,01:54:56.21,-09:00:38.9,,
NGC758,01:55:42.14,-03:03:59.3,0.77,0.61
NGC759,01:57:50.33,+36:20:35.2,1.12,1.06
NGC760,01:57:47.40,+33:21:19.4,,
NGC761,01:57:49.59,+33:22:37.7,1.48,0.51
NGC762,01:56:57.79,-05:24:10.3,1.24,1.09
NGC763,01:56:22.68,-09:03:41.1,,
NGC764,01:57:03.27,-16:03:45.0,,
NGC765,01:58:48.00,+24:53:32.9,2.62,2.62
NGC766,01:58:41.95,+08:20:47.9,1.81,1.11
NGC767,01:58:50.80,-09:35:13.7,1.27,0.35
NGC768,01:58:40.93,+00:31:45.2,1.56,0.59
NGC769,01:59:35.90,+30:54:35.7,0.85,0.49
NGC770,01:59:13.64,+18:57:16.8,0.91,0.62
NGC771,02:03:26.59,+72:25:15.2,,
NGC772,01:59:19.58,+19:00:27.1,4.57,2.52
NGC773,01:58:52.00,-11:30:52.7,1.38,0.72
NGC774,01:59:34.73,+14:00:29.5,1.28,1.06
NGC775,01:58:32.67,-26:17:37.4,1.69,1.28
NGC776,01:59:54.49,+23:38:39.8,1.35,1.29
NGC777,02:00:14.90,+31:25:46.5,2.75,2.06
NGC778,02:00:19.44,+31:18:46.9,1.05,0.46
NGC779,01:59:42.28,-05:57:47.5,1.35,0.58
NGC780,02:00:35.18,+28:13:30.5,1.65,0.81
NGC781,02:00:08.96,+12:39:22.0,1.47,0.41
NGC782,01:57:40.38,-57:47:24.6,2.45,2.03
NGC783,02:01:06.61,+31:52:56.9,1.38,0.75
NGC784,02:01:16.93,+28:50:14.1,4.17,1.07
NGC785,02:01:40.00,+31:49:35.4,1.6,0.9
NGC786,02:01:24.72,+15:38:47.5,0.79,0.64
NGC787,02:00:48.62,-09:00:09.3,1.87,1.3
NGC788,02:01:06.45,-06:48:55.9,1.74,1.42
NGC789,02:02:26.01,+32:04:20.1,0.69,0.48
NGC790,02:01:21.60,-05:22:15.5,1.38,1.21
NGC791,02:01:44.22,+08:29:59.8,1.49,1.49
NGC792,02:02:15.33,+15:42:43.9,1.27,0.67
NGC793,02:02:54.54,+31:58:50.6,,
NGC794,02:02:29.33,+18:22:22.8,1.22,0.96
NGC795,01:59:49.36,-55:49:27.0,1.28,0.77
NGC796,01:56:43.75,-74:13:12.0,1.2,1.1
NGC797,02:03:26.30,+38:06:52.0,1.8,
NGC0797 NED01,02:03:24.55,+38:06:44.0,0.48,0.33
NGC0797 NED02,02:03:27.94,+38:07:01.0,1.21,1.06
NGC798,02:03:19.60,+32:04:39.1,1.19,0.44
NGC799,02:02:12.34,-00:06:02.3,1.71,1.44
NGC800,02:02:11.85,-00:07:49.6,1.08,0.79
NGC801,02:03:44.83,+38:15:31.4,2.76,0.59
NGC802,01:59:06.00,-67:52:12.5,0.9,0.59
NGC803,02:03:44.70,+16:01:51.5,2.67,0.92
NGC804,02:04:02.11,+30:49:58.3,1.27,0.33
NGC805,02:04:29.57,+28:48:44.4,1.05,0.68
NGC806,02:03:31.15,-09:56:00.1,1.35,0.38
NGC807,02:04:55.66,+28:59:14.8,1.71,1.08
NGC808,02:03:56.60,-23:18:41.8,1.31,0.62
NGC809,02:04:18.97,-08:44:07.1,1.11,0.86
NGC810,02:05:28.90,+13:15:05.0,1.4,
NGC0810 NED01,02:05:28.51,+13:15:04.4,1.4,0.88
NGC0810 NED02,02:05:29.29,+13:15:03.5,0.98,0.65
NGC811,02:04:34.84,-10:06:30.5,0.99,0.46
NGC812,02:06:51.50,+44:34:22.5,2.74,0.97
NGC813,02:01:36.07,-68:26:21.1,1.42,0.95
NGC814,02:10:37.63,-15:46:24.9,1.32,0.59
NGC815,02:10:39.40,-15:48:46.0,0.4,
NGC0815 NED01,02:10:39.20,-15:48:44.7,0.15,0.13
NGC0815 NED02,02:10:39.51,-15:48:48.2,0.45,0.35
NGC816,02:08:08.85,+29:15:21.0,0.66,0.52
NGC817,02:07:33.71,+17:12:09.5,0.89,0.4
NGC818,02:08:44.52,+38:46:37.9,2.2,0.76
NGC819,02:08:34.37,+29:14:02.5,0.6,0.45
NGC820,02:08:24.98,+14:20:58.4,1.34,0.79
NGC821,02:08:21.14,+10:59:41.7,2.45,2.1
NGC822,02:06:39.14,-41:09:24.3,1.4,0.87
NGC823,02:07:20.05,-25:26:30.8,1.54,1.1
NGC824,02:06:53.26,-36:27:11.4,1.49,0.38
NGC825,02:08:32.36,+06:19:25.4,2.06,0.66
NGC826,02:09:25.05,+30:44:22.9,1.0,0.78
NGC827,02:08:56.26,+07:58:17.3,2.2,1.14
NGC828,02:10:09.57,+39:11:25.3,2.85,2.13
NGC829,02:08:42.38,-07:47:25.9,1.18,0.77
NGC830,02:08:58.68,-07:46:00.5,1.4,0.82
NGC831,02:09:34.60,+06:05:46.8,0.44,0.34
NGC832,02:11:00.83,+35:32:28.5,,
NGC833,02:09:20.84,-10:07:59.1,1.63,0.67
NGC834,02:11:01.29,+37:39:58.6,1.05,0.5
NGC835,02:09:24.60,-10:08:09.3,0.87,0.73
NGC836,02:10:24.88,-22:03:17.5,1.11,0.84
NGC837,02:10:16.25,-22:25:53.4,0.99,0.39
NGC838,02:09:38.53,-10:08:48.1,1.34,0.97
NGC839,02:09:42.93,-10:11:02.7,1.49,0.64
NGC840,02:10:16.21,+07:50:43.1,1.74,0.78
NGC841,02:11:17.36,+37:29:49.8,1.74,0.87
NGC842,02:09:50.79,-07:45:44.9,1.74,0.85
NGC843,02:11:08.11,+32:05:50.7,,
NGC844,02:10:14.25,+06:02:59.3,0.49,0.38
NGC845,02:12:19.79,+37:28:38.4,1.63,0.33
NGC846,02:12:12.32,+44:34:06.2,1.92,1.68
NGC847,02:12:12.32,+44:34:06.2,,
NGC848,02:10:17.64,-10:19:17.2,1.36,1.05
NGC849,02:10:11.19,-22:19:22.8,0.59,0.44
NGC850,02:11:13.61,-01:29:08.1,1.22,1.0
NGC851,02:11:12.09,+03:46:46.9,1.14,0.66
NGC852,02:08:55.46,-56:44:13.4,1.36,1.0
NGC853,02:11:41.19,-09:18:21.6,1.8,1.17
NGC854,02:11:30.75,-35:50:06.4,2.0,0.72
NGC855,02:14:03.49,+27:52:38.4,2.94,1.08
NGC856,02:13:38.36,-00:43:02.2,1.19,0.94
NGC857,02:12:36.97,-31:56:40.6,1.58,1.34
NGC858,02:12:30.17,-22:28:17.5,1.26,1.01
NGC859,02:13:38.36,-00:43:02.2,,
NGC860,02:15:00.15,+30:46:43.7,0.63,0.52
NGC861,02:15:51.14,+35:54:48.9,1.48,0.42
NGC862,02:13:03.00,-42:02:00.7,1.04,0.97
NGC863,02:14:33.56,-00:46:00.1,1.27,1.15
NGC864,02:15:27.64,+06:00:09.4,3.72,2.57
NGC865,02:16:15.11,+28:35:59.0,1.62,0.27
NGC866,02:14:33.56,-00:46:00.1,,
NGC867,02:17:04.78,+01:14:39.1,1.24,1.11
NGC868,02:15:58.48,-00:42:49.1,0.79,0.54
NGC869,02:18:58.56,+57:07:02.1,14.4,
NGC870,02:17:09.22,+14:31:23.2,0.37,0.34
NGC871,02:17:10.73,+14:32:52.2,1.01,0.33
NGC872,02:15:25.23,-17:46:51.8,1.77,0.55
NGC873,02:16:32.36,-11:20:54.8,1.48,1.07
NGC874,02:16:01.15,-23:18:06.2,1.01,0.48
NGC875,02:17:04.78,+01:14:39.1,,
NGC876,02:17:53.31,+14:31:16.6,1.32,0.38
NGC877,02:17:59.64,+14:32:38.6,1.92,1.47
NGC878,02:17:54.26,-23:23:02.6,0.87,0.53
NGC879,02:16:51.20,-08:57:50.5,0.77,0.64
NGC880,02:18:27.18,-04:12:20.7,0.58,0.38
NGC881,02:18:45.27,-06:38:20.7,2.28,1.26
NGC882,02:19:39.91,+15:48:51.3,1.13,0.48
NGC883,02:19:05.18,-06:47:27.3,1.57,1.4
NGC884,02:22:32.10,+57:08:38.8,10.5,
NGC885,02:14:33.56,-00:46:00.1,,
NGC886,02:23:11.77,+63:46:43.5,4.8,
NGC887,02:19:32.61,-16:04:11.0,1.66,1.34
NGC888,02:17:27.10,-59:51:39.8,1.16,0.9
NGC889,02:19:06.93,-41:44:57.6,1.24,0.89
