designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
UGC  6446,N/A,MCG +09-19-079,Galaxy,UMA,12.9,15.1,4',11 26.6,+53 44,171.65,53.733333333333334,Sd
UGC  6456,N/A,PGC 35286,Galaxy,DRA,13.7,13.8,1.4',11 28.0,+78 59,172.0,78.98333333333333,Pec
UGC  6520,N/A,Mrk  175,Galaxy,UMA,13.1,12.9,1.6',11 32.5,+62 30,173.125,62.5,SB
UGC  6534,N/A,PGC 35675,Galaxy,UMA,12.8,13.1,3',11 33.2,+63 17,173.29999999999998,63.28333333333333,Sd
UGC  6591,N/A,NGC 3762,Galaxy,UMA,12.6,12.4,1.9',11 37.4,+61 46,174.35,61.766666666666666,Sdm
UGC  6616,N/A,PGC 36137,Galaxy,UMA,13.1,14.7,2.3',11 39.4,+58 16,174.85,58.266666666666666,Sd
UGC  6628,N/A,MCG +08-21-089,Galaxy,UMA,12.7,14.8,3.4',11 40.1,+45 55,175.025,45.916666666666664,Sm
UGC  6637,N/A,Mrk 1507,Galaxy,UMA,14,12.4,0.8',11 40.4,+28 23,175.1,28.383333333333333,Pec
UGC  6667,N/A,PGC 36343,Galaxy,UMA,13.5,13.8,3.4',11 42.4,+51 36,175.6,51.6,Sc
UGC  6670,N/A,PGC 36355,Galaxy,LEO,12.9,13.8,4.2',11 42.4,+18 19,175.6,18.316666666666666,Ir+
UGC  6697,N/A,PGC 36466,Galaxy,LEO,13.6,12.9,1.9',11 43.8,+19 57,175.95000000000002,19.95,Sm
UGC  6711,N/A,PGC 36542,Galaxy,DRA,13.2,11.9,0.7',11 44.5,+69 44,176.125,69.73333333333333,Pec
UGC  6719,N/A,PGC 36574,Galaxy,LEO,13.6,13.4,1.3',11 44.7,+20 07,176.17499999999998,20.116666666666667,Sc
UGC  6725,N/A,PGC 36609,Galaxy,LEO,12.9,13.5,1.8',11 45.1,+20 26,176.275,20.433333333333334,S0
UGC  6780,N/A,PGC 36887,Galaxy,VIR,13,14.1,3.4',11 48.9,-02 02,177.225,-2.033333333333333,Sd pec
UGC  6817,N/A,PGC 37050,Galaxy,UMA,13.1,14.9,4.1',11 50.8,+38 52,177.7,38.86666666666667,Ir+
UGC  6840,N/A,PGC 37164,Galaxy,UMA,13.9,13.8,2.3',11 52.1,+52 06,178.025,52.1,SB(rs)m
UGC  6903,N/A,PGC 37444,Galaxy,VIR,12.3,14.1,2.5',11 55.7,+01 15,178.92499999999998,1.25,S(B)c
UGC  6917,N/A,MCG +09-20-038,Galaxy,UMA,12.6,14.6,3.5',11 56.5,+50 25,179.125,50.416666666666664,SBm
UGC  6930,N/A,MCG +08-22-046,Galaxy,UMA,12.1,14.6,4.4',11 57.3,+49 16,179.325,49.266666666666666,S(B)d
UGC  6955,N/A,PGC 37689,Galaxy,UMA,13.3,15.9,5.3',11 58.4,+38 04,179.6,38.06666666666667,Ir+
UGC  6983,N/A,PGC 37735,Galaxy,UMA,12.4,14.6,3.4',11 59.2,+52 42,179.79999999999998,52.7,SB(rs)cd
UGC  7020,N/A,Mrk  195,Galaxy,UMA,13.2,14.6,2.1',12 02.6,+41 03,180.65,41.05,SA
UGC  7089,N/A,PGC 38356,Galaxy,UMA,13.9,14.6,3.4',12 05.9,+43 08,181.475,43.13333333333333,Sm
UGC  7125,N/A,PGC 38567,Galaxy,CVN,13.7,14.9,4.7',12 08.7,+36 48,182.17499999999998,36.8,Sm
UGC  7239,N/A,PGC 39067,Galaxy,VIR,13.3,14.6,2.2',12 14.2,+07 46,183.54999999999998,7.766666666666667,Ir+
UGC  7257,N/A,PGC 39150,Galaxy,CVN,13.6,13.7,1.7',12 15.0,+35 57,183.75,35.95,Sm
UGC  7321,N/A,PGC 39432,Galaxy,COM,13.4,14.8,5.3',12 17.5,+22 32,184.375,22.533333333333335,Sd
