designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
PK 350+ 4.1,N/A,Haro 2- 1,Pln Neb,SCO,14,-,5.6'',17 04.6,-33 59,256.15000000000003,-33.983333333333334,2
PK 351- 6.1,N/A,Haro 1-37,Pln Neb,SCO,13.8,-,9.9'',17 50.7,-39 18,267.67499999999995,-39.3,2
PK 351+ 4.1,N/A,M1-19,Pln Neb,SCO,13.2,9.8,10'',17 03.8,-33 30,255.95,-33.5,1
PK 352- 7.1,N/A,Fleming 3;V V 133,Pln Neb,CRA,11.4,4.3,2'',18 00.2,-38 50,270.05,-38.833333333333336,1
PK 353- 4.1,N/A,Haro 1-36,Pln Neb,SCO,12,-,10'',17 49.8,-37 02,267.45,-37.03333333333333,N/A
PK 353+ 6.2,N/A,M2- 6,Pln Neb,SCO,13.7,9.4,8'',17 04.3,-30 53,256.075,-30.883333333333333,1
PK 355- 3.3,N/A,He2-228,Pln Neb,SCO,12.7,-,2'',17 49.2,-34 23,267.3,-34.38333333333333,N/A
PK 355- 4.1,N/A,Hoffleit 2-1,Pln Neb,SCO,14,-,11'',17 51.2,-34 55,267.79999999999995,-34.916666666666664,3
PK 355- 6.5,N/A,M3-21,Pln Neb,SGR,11.7,6.3,5'',18 02.5,-36 39,270.625,-36.65,N/A
PK 356- 4.1,N/A,Cannon 2-1,Pln Neb,SCO,13.9,-,3'',17 54.6,-34 23,268.65,-34.38333333333333,N/A
PK 356- 4.2,N/A,Haro 1-41,Pln Neb,SCO,13,-,10'',17 57.3,-34 10,269.325,-34.166666666666664,2
PK 357- 3.2,N/A,M2-16,Pln Neb,SCO,14,-,6.2'',17 52.6,-32 46,268.15,-32.766666666666666,2
PK 357- 4.3,N/A,He2-313,Pln Neb,SCO,8.5,-,2'',17 58.2,-33 48,269.54999999999995,-33.8,1
PK 358- 0.2,N/A,M1-26,Pln Neb,SCO,13.8,7.9,9.0'',17 46.0,-30 12,266.5,-30.2,2
PK 358- 6.1,N/A,N/A,Pln Neb,SGR,12,-,10'',18 09.9,-33 19,272.47499999999997,-33.31666666666667,N/A
PK 358+ 3.1,N/A,M3-10,Pln Neb,OPH,13.6,-,3.5'',17 28.7,-28 27,262.17499999999995,-28.45,2
PK 358+ 4.1,N/A,M3- 8,Pln Neb,OPH,14,-,5.6'',17 24.9,-28 06,261.22499999999997,-28.1,2
PK 358+ 5.2,N/A,He2-216,Pln Neb,OPH,13.1,-,3'',17 22.4,-27 09,260.6,-27.15,N/A
PK 359- 0.1,N/A,Hubble  5,Pln Neb,SGR,13.6,-,19'',17 47.9,-30 00,266.97499999999997,-30.0,2(6)
PK 359- 1.1,N/A,M1-29,Pln Neb,SCO,13.5,9.1,9.3'',17 50.3,-30 35,267.57500000000005,-30.583333333333332,4(2)
PK 359- 7.1,N/A,M2-32,Pln Neb,SGR,12.4,8.5,10'',18 14.9,-32 37,273.725,-32.61666666666667,1
