designation,name,other_id,type,constellation,magnitude,surface_brightness,size,ra_string,dec_string,ra_deg,dec_deg,class
NGC  217,N/A,MCG - 2- 2- 85,Galaxy,CET,13.5,-,2.7',00 41.6,-10 01,10.391208333333333,-10.021416666666667,Sa
NGC  218,N/A,UGC   440,Galaxy,AND,14,14.1,1.1',00 41.7,+36 22,11.633291666666668,36.325611111111115,S pec
NGC  223,N/A,IC   44,Galaxy,CET,13.2,13.1,1.3',00 42.3,+00 51,10.566166666666666,0.8455,SOa/Pec
NGC  225,Sailboat Cluster,OCL  305,Opn CL,CAS,7,-,12',00 43.6,+61 46,10.901583333333335,61.76694444444444,III 1 p n
NGC  226,N/A,UGC   459,Galaxy,AND,13.3,13,0.9',00 42.9,+32 35,10.725166666666667,32.58097222222222,Pec
NGC  227,N/A,UGC   456,Galaxy,CET,12.1,12.8,1.5',00 42.6,-01 32,10.653458333333333,-1.5287777777777778,E2
NGC  228,N/A,UGC   458,Galaxy,AND,13.7,13.8,1.2',00 42.9,+23 30,10.727125000000001,23.503055555555555,SBab Ring
NGC  232,N/A,ESO 474-15,Galaxy,CET,13.5,13,0.9',00 42.8,-23 34,10.690916666666666,-23.56136111111111,SBa
NGC  233,N/A,UGC   464,Galaxy,AND,12.4,13.4,1.7',00 43.6,+30 35,10.902333333333335,30.587,Elliptical
NGC  234,N/A,UGC   463,Galaxy,PSC,12.5,13.4,1.6',00 43.5,+14 21,10.884958333333334,14.342555555555556,SBc
NGC  235A,N/A,ESO 474-16,Galaxy,CET,14,-,1.3',00 42.9,-23 33,10.725,-23.55,SO
NGC  236,N/A,UGC   462,Galaxy,PSC,13.5,13.5,1.2',00 43.5,+02 57,10.86475,2.9581944444444446,Sc
NGC  237,N/A,UGC   461,Galaxy,CET,13,13.3,1.6',00 43.5,-00 08,10.866000000000001,-0.12491666666666668,SBc
NGC  238,N/A,ESO 194-31,Galaxy,PHE,13.2,-,2',00 43.4,-50 11,10.857291666666667,-50.18283333333333,SB Ring
NGC  240,N/A,UGC   473,Galaxy,PSC,13.5,13.3,1',00 45.0,+06 07,11.258041666666665,6.113361111111111,Sa Ring
NGC  243,N/A,MCG   5- 2- 43,Galaxy,AND,13.6,12.5,0.9',00 46.0,+29 58,11.503625000000001,29.9595,S pec
NGC  244,N/A,MCG - 3- 3-  3,Galaxy,CET,13.7,-,1.2',00 45.8,-15 36,11.443458333333334,-15.59688888888889,SO Pec
NGC  245,N/A,UGC   476,Galaxy,CET,12.2,12.6,1.3',00 46.1,-01 43,11.522458333333335,-1.723388888888889,Sb
NGC  246,Skull Nebula,PK 118-74.1,Pln Neb,CET,10.4,13.5,240'',00 47.1,-11 52,11.764,-11.871944444444445,3b
NGC  247,N/A,ESO 540-22,Galaxy,CET,9.1,14.4,21',00 47.1,-20 46,11.785625,-20.76038888888889,SBcd
NGC  250,N/A,UGC   487,Galaxy,PSC,13.6,13.1,1.1',00 47.3,+07 55,11.816708333333334,7.9100277777777785,Sa
NGC  251,N/A,UGC   490,Galaxy,PSC,13.2,14.7,2.4',00 47.9,+19 36,11.975124999999998,19.596833333333333,Sc
NGC  252,N/A,UGC   491,Galaxy,AND,12.4,12.8,1.4',00 48.0,+27 37,12.00625,27.62363888888889,Sa Ring
NGC  253,Sculptor Galaxy,ESO 474-29,Galaxy,SCL,7.2,12.7,26.4',00 47.6,-25 18,11.888,-25.288222222222224,SBc
NGC  254,N/A,ESO 411-15,Galaxy,SCL,11.7,13,2.6',00 47.5,-31 25,11.865041666666666,-31.421750000000003,SBO-a Ring
NGC  255,N/A,MCG - 2- 3- 17,Galaxy,CET,11.9,13.9,3.1',00 47.8,-11 28,11.947125,-11.468694444444445,SBbc
NGC  257,N/A,UGC   493,Galaxy,PSC,12.6,13.4,1.9',00 48.0,+08 18,12.006291666666668,8.297083333333333,Sc
NGC  259,N/A,MCG - 1- 3- 15,Galaxy,CET,13.3,-,2.9',00 48.1,-02 47,12.013708333333334,-2.775333333333333,Sbc
NGC  260,N/A,UGC   497,Galaxy,AND,13.5,13.2,0.8',00 48.6,+27 41,12.144375,27.692444444444444,Scp
NGC  262,N/A,UGC   499;Mrk 348,Galaxy,AND,13.1,13.1,1.4',00 48.8,+31 57,12.196416666666666,31.956972222222223,Sa
